,Cardboard,Glass,Metal,Paper,Plastic,Date,carbon_footprint_reduce(kg)
0,1,2,0,21,1,2019-01-01,3.65
1,3,0,0,21,2,2019-01-02,1.37
2,3,0,0,10,0,2019-01-03,0.96
3,4,1,2,20,2,2019-01-04,3.14
4,0,1,0,20,2,2019-01-05,2.06
5,3,0,0,10,0,2019-01-06,0.96
6,1,1,1,30,1,2019-01-07,2.6399999999999997
7,1,0,0,21,0,2019-01-08,0.85
8,0,2,0,17,0,2019-01-09,3.2699999999999996
9,3,0,0,29,0,2019-01-10,1.53
10,1,1,1,22,1,2019-01-11,2.4
11,0,0,2,11,1,2019-01-12,0.5700000000000001
12,2,2,2,19,2,2019-01-13,4.05
13,3,0,1,15,1,2019-01-14,1.25
14,1,0,0,22,2,2019-01-15,0.9599999999999999
15,2,1,1,11,2,2019-01-16,2.33
16,4,0,1,30,1,2019-01-17,1.92
17,1,2,0,29,2,2019-01-18,3.93
18,1,2,1,26,2,2019-01-19,3.9400000000000004
19,2,1,1,20,2,2019-01-20,2.6
20,1,0,0,17,1,2019-01-21,0.77
21,3,0,0,17,0,2019-01-22,1.17
22,2,1,1,13,2,2019-01-23,2.39
23,0,1,2,16,0,2019-01-24,2.0599999999999996
24,4,2,1,23,1,2019-01-25,4.47
25,4,0,0,15,0,2019-01-26,1.33
26,0,1,1,26,1,2019-01-27,2.3
27,1,1,1,13,2,2019-01-28,2.17
28,1,1,1,19,2,2019-01-29,2.35
29,1,1,2,12,1,2019-01-30,2.1999999999999997
30,3,2,2,10,2,2019-01-31,4.0
31,3,2,0,28,1,2019-02-01,4.3
32,3,0,2,28,0,2019-02-02,1.7000000000000002
33,4,1,1,16,2,2019-02-03,2.92
34,3,0,2,20,2,2019-02-04,1.54
35,1,2,0,16,1,2019-02-05,3.5
36,1,2,0,21,2,2019-02-06,3.69
37,1,0,0,14,0,2019-02-07,0.64
38,4,0,0,30,0,2019-02-08,1.7799999999999998
39,1,0,0,16,1,2019-02-09,0.74
40,0,0,0,22,2,2019-02-10,0.7399999999999999
41,2,0,1,30,2,2019-02-11,1.52
42,4,2,2,30,0,2019-02-12,4.74
43,1,0,2,15,1,2019-02-13,0.91
44,2,1,1,19,0,2019-02-14,2.4899999999999998
45,2,2,1,12,0,2019-02-15,3.6599999999999997
46,2,2,2,24,0,2019-02-16,4.12
47,2,0,2,16,0,2019-02-17,1.12
48,1,0,2,27,1,2019-02-18,1.27
49,2,1,2,24,2,2019-02-19,2.8200000000000003
50,3,2,0,29,1,2019-02-20,4.33
51,4,2,0,22,0,2019-02-21,4.3
52,3,2,1,11,0,2019-02-22,3.85
53,3,1,1,13,1,2019-02-23,2.5700000000000003
54,0,0,0,15,0,2019-02-24,0.44999999999999996
55,2,0,1,23,1,2019-02-25,1.27
56,3,1,2,21,2,2019-02-26,2.95
57,2,0,1,16,1,2019-02-27,1.06
58,2,2,0,28,1,2019-02-28,4.08
59,3,2,1,22,0,2019-03-01,4.18
60,1,0,2,25,2,2019-03-02,1.25
61,3,2,1,24,1,2019-03-03,4.28
62,4,1,0,14,0,2019-03-04,2.6799999999999997
63,3,2,0,27,2,2019-03-05,4.31
64,1,2,0,27,0,2019-03-06,3.79
65,0,1,0,22,2,2019-03-07,2.12
66,2,0,0,22,0,2019-03-08,1.0999999999999999
67,0,1,0,14,2,2019-03-09,1.88
68,0,0,0,26,2,2019-03-10,0.86
69,1,2,2,21,1,2019-03-11,3.85
70,2,0,1,15,1,2019-03-12,1.03
71,0,1,0,11,1,2019-03-13,1.75
72,0,2,0,14,1,2019-03-14,3.2199999999999998
73,2,2,1,10,1,2019-03-15,3.6399999999999997
74,3,1,0,21,2,2019-03-16,2.75
75,1,0,1,18,1,2019-03-17,0.9000000000000001
76,1,1,0,26,2,2019-03-18,2.46
77,3,2,2,15,0,2019-03-19,4.07
78,2,1,0,25,1,2019-03-20,2.61
79,1,0,0,16,2,2019-03-21,0.7799999999999999
80,0,0,1,29,0,2019-03-22,0.97
81,0,0,2,12,2,2019-03-23,0.64
82,1,1,1,20,0,2019-03-24,2.3
83,1,1,2,11,0,2019-03-25,2.13
84,0,0,0,11,2,2019-03-26,0.41
85,0,0,1,23,1,2019-03-27,0.83
86,1,0,2,13,0,2019-03-28,0.81
87,3,1,1,22,1,2019-03-29,2.84
88,1,2,1,15,0,2019-03-30,3.5300000000000002
89,1,1,0,19,0,2019-03-31,2.17
90,0,2,0,26,1,2019-04-01,3.58
91,2,1,2,18,0,2019-04-02,2.56
92,4,1,0,20,0,2019-04-03,2.86
93,3,1,1,30,1,2019-04-04,3.08
94,0,2,0,25,1,2019-04-05,3.55
95,2,2,1,30,0,2019-04-06,4.199999999999999
96,3,0,2,21,2,2019-04-07,1.5700000000000003
97,0,0,1,14,1,2019-04-08,0.56
98,4,1,2,29,1,2019-04-09,3.37
99,0,1,1,10,1,2019-04-10,1.82
100,1,0,2,30,2,2019-04-11,1.4
101,3,2,0,14,0,2019-04-12,3.84
102,1,1,0,23,1,2019-04-13,2.33
103,0,1,2,16,2,2019-04-14,2.1399999999999997
104,1,0,2,13,2,2019-04-15,0.89
105,0,2,1,14,1,2019-04-16,3.32
106,0,1,2,11,0,2019-04-17,1.9099999999999997
107,3,1,0,27,2,2019-04-18,2.93
108,1,1,1,24,2,2019-04-19,2.5
109,2,1,0,10,2,2019-04-20,2.1999999999999997
110,1,1,0,15,2,2019-04-21,2.13
111,4,0,1,17,2,2019-04-22,1.57
112,4,2,0,30,0,2019-04-23,4.539999999999999
113,4,2,0,20,2,2019-04-24,4.319999999999999
114,1,1,0,28,2,2019-04-25,2.52
115,3,2,0,21,2,2019-04-26,4.13
116,4,0,0,15,0,2019-04-27,1.33
117,4,0,2,30,1,2019-04-28,2.02
