,Cardboard,Glass,Metal,Paper,Plastic,Date,carbon_footprint_reduce(kg)
0,0,0,1,1,3,2019-01-01,0.25
1,0,0,2,1,2,2019-01-02,0.31
2,0,0,1,1,3,2019-01-03,0.25
3,0,0,1,3,3,2019-01-04,0.31
4,0,0,1,1,3,2019-01-05,0.25
5,0,0,3,3,3,2019-01-06,0.51
6,0,0,3,1,3,2019-01-07,0.45000000000000007
7,0,0,3,2,1,2019-01-08,0.4
8,0,0,3,1,2,2019-01-09,0.4100000000000001
9,0,0,1,3,3,2019-01-10,0.31
10,0,0,1,3,2,2019-01-11,0.27
11,0,0,3,3,2,2019-01-12,0.47000000000000003
12,0,0,2,3,2,2019-01-13,0.37000000000000005
13,0,0,1,3,1,2019-01-14,0.23
14,0,0,3,1,1,2019-01-15,0.37000000000000005
15,0,0,3,3,3,2019-01-16,0.51
16,0,0,2,2,2,2019-01-17,0.34
17,0,0,3,3,1,2019-01-18,0.43
18,0,0,3,2,3,2019-01-19,0.48000000000000004
19,0,0,3,2,3,2019-01-20,0.48000000000000004
20,0,0,3,3,1,2019-01-21,0.43
21,0,0,2,1,3,2019-01-22,0.35
22,0,0,2,1,1,2019-01-23,0.27
23,0,0,2,2,2,2019-01-24,0.34
24,0,0,1,3,1,2019-01-25,0.23
25,0,0,1,1,2,2019-01-26,0.21000000000000002
26,0,0,1,3,3,2019-01-27,0.31
27,0,0,3,2,1,2019-01-28,0.4
28,0,0,2,1,2,2019-01-29,0.31
29,0,0,3,1,1,2019-01-30,0.37000000000000005
30,0,0,3,3,2,2019-01-31,0.47000000000000003
31,0,0,1,3,3,2019-02-01,0.31
32,0,0,3,1,2,2019-02-02,0.4100000000000001
33,0,0,1,2,1,2019-02-03,0.2
34,0,0,1,3,3,2019-02-04,0.31
35,0,0,1,1,2,2019-02-05,0.21000000000000002
36,0,0,3,2,3,2019-02-06,0.48000000000000004
37,0,0,3,3,1,2019-02-07,0.43
38,0,0,1,1,3,2019-02-08,0.25
39,0,0,2,3,2,2019-02-09,0.37000000000000005
40,0,0,2,1,2,2019-02-10,0.31
41,0,0,1,1,2,2019-02-11,0.21000000000000002
42,0,0,3,1,2,2019-02-12,0.4100000000000001
43,0,0,3,2,2,2019-02-13,0.44000000000000006
44,0,0,2,1,3,2019-02-14,0.35
45,0,0,3,1,2,2019-02-15,0.4100000000000001
46,0,0,3,2,3,2019-02-16,0.48000000000000004
47,0,0,1,3,1,2019-02-17,0.23
48,0,0,1,2,2,2019-02-18,0.24
49,0,0,2,1,1,2019-02-19,0.27
50,0,0,2,1,1,2019-02-20,0.27
51,0,0,1,3,1,2019-02-21,0.23
52,0,0,3,2,3,2019-02-22,0.48000000000000004
53,0,0,1,2,3,2019-02-23,0.28
54,0,0,1,1,2,2019-02-24,0.21000000000000002
55,0,0,2,1,2,2019-02-25,0.31
56,0,0,2,1,3,2019-02-26,0.35
57,0,0,2,2,2,2019-02-27,0.34
58,0,0,3,3,1,2019-02-28,0.43
59,0,0,2,2,1,2019-03-01,0.3
60,0,0,2,1,1,2019-03-02,0.27
61,0,0,1,2,2,2019-03-03,0.24
62,0,0,2,1,1,2019-03-04,0.27
63,0,0,2,1,3,2019-03-05,0.35
64,0,0,3,1,2,2019-03-06,0.4100000000000001
65,0,0,3,1,3,2019-03-07,0.45000000000000007
66,0,0,3,1,1,2019-03-08,0.37000000000000005
67,0,0,3,3,2,2019-03-09,0.47000000000000003
68,0,0,1,3,1,2019-03-10,0.23
69,0,0,3,3,3,2019-03-11,0.51
70,0,0,1,1,1,2019-03-12,0.17
71,0,0,1,1,2,2019-03-13,0.21000000000000002
72,0,0,1,1,2,2019-03-14,0.21000000000000002
73,0,0,1,1,3,2019-03-15,0.25
74,0,0,1,2,1,2019-03-16,0.2
75,0,0,2,2,2,2019-03-17,0.34
76,0,0,3,3,1,2019-03-18,0.43
77,0,0,1,3,1,2019-03-19,0.23
78,0,0,2,1,3,2019-03-20,0.35
79,0,0,2,3,1,2019-03-21,0.33
80,0,0,3,3,2,2019-03-22,0.47000000000000003
81,0,0,1,1,3,2019-03-23,0.25
82,0,0,2,3,3,2019-03-24,0.41000000000000003
83,0,0,2,2,2,2019-03-25,0.34
84,0,0,3,1,2,2019-03-26,0.4100000000000001
85,0,0,1,3,3,2019-03-27,0.31
86,0,0,3,3,1,2019-03-28,0.43
87,0,0,2,3,3,2019-03-29,0.41000000000000003
88,0,0,2,1,1,2019-03-30,0.27
89,0,0,3,1,1,2019-03-31,0.37000000000000005
90,0,0,1,1,2,2019-04-01,0.21000000000000002
91,0,0,1,1,1,2019-04-02,0.17
92,0,0,1,1,3,2019-04-03,0.25
93,0,0,3,2,2,2019-04-04,0.44000000000000006
94,0,0,1,1,1,2019-04-05,0.17
95,0,0,3,2,1,2019-04-06,0.4
96,0,0,3,1,1,2019-04-07,0.37000000000000005
97,0,0,3,3,1,2019-04-08,0.43
98,0,0,2,2,3,2019-04-09,0.38
99,0,0,3,1,3,2019-04-10,0.45000000000000007
100,0,0,3,3,2,2019-04-11,0.47000000000000003
101,0,0,2,3,3,2019-04-12,0.41000000000000003
102,0,0,2,2,3,2019-04-13,0.38
103,0,0,1,1,2,2019-04-14,0.21000000000000002
104,0,0,1,1,1,2019-04-15,0.17
105,0,0,3,3,1,2019-04-16,0.43
106,0,0,3,1,3,2019-04-17,0.45000000000000007
107,0,0,3,3,1,2019-04-18,0.43
108,0,0,3,1,3,2019-04-19,0.45000000000000007
109,0,0,3,2,2,2019-04-20,0.44000000000000006
110,0,0,1,3,2,2019-04-21,0.27
111,0,0,3,3,3,2019-04-22,0.51
112,0,0,1,1,1,2019-04-23,0.17
113,0,0,2,1,2,2019-04-24,0.31
114,0,0,1,2,1,2019-04-25,0.2
115,0,0,2,3,1,2019-04-26,0.33
116,0,0,1,3,1,2019-04-27,0.23
117,0,0,2,2,3,2019-04-28,0.38
118,0,0,2,2,1,2019-04-29,0.3
119,0,0,3,1,3,2019-04-30,0.45000000000000007
